Country Name,Region
Arab World,Other / Unclassified
Caribbean small states,Other / Unclassified
Central Europe and the Baltics,Other / Unclassified
Early-demographic dividend,Other / Unclassified
East Asia & Pacific,Other / Unclassified
East Asia & Pacific (excluding high income),Other / Unclassified
East Asia & Pacific (IDA & IBRD countries),Other / Unclassified
Euro area,Other / Unclassified
Europe & Central Asia,Other / Unclassified
Europe & Central Asia (excluding high income),Other / Unclassified
Europe & Central Asia (IDA & IBRD countries),Other / Unclassified
European Union,Other / Unclassified
Fragile and conflict affected situations,Other / Unclassified
Heavily indebted poor countries (HIPC),Other / Unclassified
High income,Other / Unclassified
Late-demographic dividend,Other / Unclassified
Latin America & Caribbean,Other / Unclassified
Latin America & Caribbean (excluding high income),Other / Unclassified
Latin America & the Caribbean (IDA & IBRD countries),Other / Unclassified
Least developed countries: UN classification,Other / Unclassified
Low & middle income,Other / Unclassified
Low income,Other / Unclassified
Lower middle income,Other / Unclassified
Middle East & North Africa,Other / Unclassified
Middle East & North Africa (excluding high income),Other / Unclassified
Middle East & North Africa (IDA & IBRD countries),Other / Unclassified
Middle income,Other / Unclassified
North America,Other / Unclassified
OECD members,Other / Unclassified
Other small states,Other / Unclassified
Pacific island small states,Other / Unclassified
Post-demographic dividend,Other / Unclassified
Pre-demographic dividend,Other / Unclassified
Small states,Other / Unclassified
South Asia,Other / Unclassified
South Asia (IDA & IBRD),Other / Unclassified
Sub-Saharan Africa,Other / Unclassified
Sub-Saharan Africa (excluding high income),Other / Unclassified
Sub-Saharan Africa (IDA & IBRD countries),Other / Unclassified
Upper middle income,Other / Unclassified
World,Other / Unclassified
Afghanistan,South Asia
Albania,Other / Unclassified
Algeria,Middle East & North Africa
American Samoa,Other / Unclassified
Andorra,Other / Unclassified
Angola,Sub-Saharan Africa
Antigua and Barbuda,Other / Unclassified
Argentina,Latin America & Caribbean
Armenia,Other / Unclassified
Aruba,Other / Unclassified
Australia,East Asia & Pacific
Austria,Europe & Central Asia
Azerbaijan,Other / Unclassified
"Bahamas, The",Other / Unclassified
Bahrain,Middle East & North Africa
Bangladesh,South Asia
Barbados,Other / Unclassified
Belarus,Other / Unclassified
Belgium,Europe & Central Asia
Belize,Other / Unclassified
Benin,Other / Unclassified
Bermuda,Other / Unclassified
Bhutan,South Asia
Bolivia,Latin America & Caribbean
Bosnia and Herzegovina,Other / Unclassified
Botswana,Sub-Saharan Africa
Brazil,Latin America & Caribbean
British Virgin Islands,Other / Unclassified
Brunei Darussalam,Other / Unclassified
Bulgaria,Other / Unclassified
Burkina Faso,Other / Unclassified
